X,Y,Five_ave_crime,PopulationDensity,PopulationFemale,X.Black,Neighbor_Disadvantage,Casinos
-86.443581,32.472082,9630.977348,9630.25297,617.33,262.88,-1.179010033,30.261611
-87.78623,31.112755,12127.45449,14435.29598,1584.13,293.94,-10.23890095,73.938665
-85.572544,31.800161,3733.313665,1191.26062,439.82,433.89,6.661801837,8.029099
-87.009323,32.961403,694.934472,174.20999,186.9,68.97,0.646957724,4.612135
-86.635686,34.032785,17900.50599,847.5534,454.95,13.17,-0.86432714,6.928191
-85.825803,32.068123,1243.969332,56.738031,140.31,226.62,2.191278769,7.685952
-86.588424,31.903303,5393.135835,1386.81512,377.16,283.23,0.988549625,11.645698
-85.873202,33.64412,7037.221741,16342.04627,1465.66,770.97,11.429899,21.677443
-85.197184,32.847257,1864.35224,2942.74245,417.81,298.94,0.222689098,6.541104
-85.569484,34.355408,9405.260808,413.08889,304.8,30.09,-0.666967666,2.804792
-86.738255,32.772464,11897.32062,946.39676,461.46,83.38,1.446970266,18.329716
-88.212506,32.066324,567.2027916,56.22487,207.97,173.57,1.364558966,3.805488
-87.699686,31.634827,2386.285032,216.7897,264.51,214.48,2.597824515,10.929374
-85.877103,33.304726,970.7035612,99.80688,206.35,56.78,1.038601473,4.526394
-85.562208,33.692621,3972.08378,118.16607,203.22,10.78,0.015180432,2.167271
-86.028552,31.253286,4877.245619,5484.84227,713.94,204.5,0.724189439,13.483344
-87.63981,34.747097,4183.7537,11273.90568,730,244.55,-0.301513744,8.011158
-86.800952,31.38495,0,100.068435,253.87,225.3,2.561512327,19.304435
-86.335788,33.002011,5374.593084,63.16255,147.86,100.14,-0.550078397,7.992463
-86.404756,31.438935,4919.450308,1995.495482,723.14,205.74,3.579442744,19.151676
-86.226238,31.726809,1987.39526,137.17821,308.9,145.18,0.955247299,8.637998
-86.864139,34.187442,21602.23794,3845.2412,910.46,23.48,-0.72478578,10.642795
-85.636959,31.445272,6701.176611,3222.74381,716.63,281.66,1.098756863,9.24704
-87.033485,32.564382,18651.25308,8242.41905,753.58,986.24,10.12923587,17.779264
-85.637516,34.456554,17107.50916,1557.03998,705.45,22.16,1.367970722,3.591489
-85.979538,32.516028,16346.71191,4324.49013,782.43,327.36,-3.410142689,78.276718
-86.89051,31.115195,0,1153.2846,449.6,313.81,4.628414589,68.208755
-85.967496,34.001389,17946.64451,25207.03183,1557.94,633.73,7.186268225,18.109277
-87.636713,33.808525,1211.796808,155.69392,256.04,49.59,0.497313659,2.530762
-88.072658,34.521142,6906.967081,1167.0367,446.61,34.38,0.546664991,3.789201
-86.08719,31.088301,5903.889341,321.47992,306.08,52.42,0.129409492,3.814953
-87.938855,32.688042,5131.126071,39.829007,159.93,241.74,3.054224371,7.086555
-87.701022,32.864468,1108.2525,143.30454,311.03,338.77,2.538797613,6.142488
-85.255158,31.566294,3130.928164,257.73823,311.41,164.56,0.411673471,3.084948
-85.419304,31.220099,15287.81796,21872.54069,1145.21,732.31,5.882602741,15.728671
-86.218177,34.867007,0,1474.538435,563.01,35.35,-0.18065087,3.102732
-86.857717,33.512429,83830.07214,321253.1794,8596.2,8056.1,37.49500613,202.646627
-88.096943,33.946116,1173.339045,69.30521,153.01,31.88,1.080927897,2.723284
-87.681804,34.829955,2398.506,20063.76042,1145.56,306.42,-0.79121436,9.039706
-87.41755,34.567622,10873.34467,607.20763,470.26,126.67,0.669066182,2.934734
-85.515268,32.596024,24875.77059,37331.06115,1363.15,664.42,0.856841726,31.59167
-86.982912,34.78542,11965.82133,7662.28827,810.73,225.19,0.027584939,6.00296
-86.719898,32.270648,5805.910527,47.92676,154.77,214.22,2.495226334,7.27251
-85.624798,32.302491,6752.07702,4161.116129,642.03,1031.34,7.697141303,59.442409
-86.69641,34.960651,50512.33536,115965.0386,3756.73,2099.12,4.905173416,28.291017
-87.94483,32.08018,6646.700766,216.729892,305.39,322.54,1.488776828,10.009285
-87.949791,34.196722,3399.306459,343.59282,352.79,22.64,1.546879044,5.20866
-86.226351,34.280137,9379.398769,5606.648,916.04,50.16,-0.353104239,7.569914
-88.143755,30.643455,58100.62935,201353.3882,5634.66,4716.54,25.72879216,213.455229
-87.413893,31.716986,4064.816498,192.413689,361.04,344.71,6.896361096,39.556597
-86.228474,32.372142,12030.05768,113407.9125,3330.01,3772.49,19.0085833,219.709514
-87.008751,34.59699,7317.08022,28705.70321,1361.82,402.13,-1.075684701,11.329491
-87.13947,32.685264,0,39.585197,164.39,205.6,2.385452756,2.792616
-88.10342,33.142607,263.6119633,130.28584,255.81,183.93,1.746867947,5.911464
-85.996562,31.782457,3189.869989,850.16807,412.5,289.63,1.584253248,11.180775
-85.527882,33.426217,2291.19677,279.04133,305.32,115.13,0.843262102,6.152889
-85.006312,32.474319,8771.270057,14390.73187,678.46,581.11,5.704339049,12.190783
-86.200866,33.751917,4668.508287,3284.11402,652.14,114.97,-1.302016917,14.441786
-86.793157,33.358377,17213.10811,44719.02741,2424.09,574.27,-20.46795378,46.496631
-88.247798,32.850612,1901.293772,52.475309,214.61,270.93,2.426180153,6.557581
-86.181643,33.301196,22290.25693,8934.8509,1140.87,772.83,10.39778788,35.324952
-85.649304,32.77661,3912.295344,998.26978,518.4,301.59,3.651447625,19.54274
-87.327522,33.324315,33295.88288,71166.58166,2432.21,1655.11,15.85698726,48.285658
-87.304314,33.952927,20283.70547,2503.22764,918.16,117.22,3.933737053,13.368309
-88.053624,31.417921,2592.48372,83.036808,252.37,113.45,0.739965374,6.378781
-87.41633,32.14173,2235.029996,30.296367,102.5,140.28,1.561976615,2.353377
-87.385555,34.132591,1212.417979,372.62932,356.5,4.08,0.975238488,3.493434
-109.184475,35.416491,355.0242047,978.059264,347.4,6.61,2.109406557,24.439488
-110.24907,31.546888,17516.8602,25280.39202,1488.23,118.8,2.27739689,46.38696
-111.01837,35.714053,8280.956772,34446.34533,1194.61,25.3,-3.460120112,80.193603
-111.525429,34.343019,8766.475708,2819.513384,653.93,8.97,-1.345790688,85.770741
-109.947699,33.275953,3106.988169,5601.539594,359.28,18.44,-0.181155685,11.124462
-109.346176,32.978057,445.3237849,33.34649,43.44,3.36,-0.77222686,2.467294
-114.013445,34.1987,6302.343216,2010.678405,290.3,6.17,-0.045882336,66.040734
-112.155854,33.54579,105874.2892,4520601.597,45574.54,4860.32,-116.2921063,3375.789468
-114.623754,35.103767,36774.16856,53534.91633,2075.13,49.42,-0.085453458,587.250059
-110.32226,35.760414,8991.770566,3903.715004,1076.15,25.09,8.995152588,89.493952
-110.949372,32.26412,211109.0199,727035.2582,11559.76,741.8,-4.025224079,873.42232
-111.554658,33.234506,36407.06539,115722.1989,3664.6,279.84,0.146899079,251.84351
-110.643677,31.56525,1948.924265,8329.680782,521.64,11.23,7.98295808,24.306166
-112.366388,34.826834,23408.6162,33388.40876,2143.2,27.73,-14.64573215,169.155975
-114.594268,32.680498,23829.69716,132833.5924,2220.16,106.99,15.54112244,193.102111
-91.21635,34.349886,3282.506327,997.004183,265.63,140.57,0.922046596,4.975439
-91.914274,33.299483,7646.881655,601.937834,358.44,183.23,0.097836705,4.263049
-92.3816,36.308297,15154.82773,2320.09345,465.6,1.32,-3.233826412,5.796695
-94.195692,36.346352,11911.26247,53155.14646,2464.84,71.54,-21.12795443,130.450115
-92.977134,36.372565,9403.402127,2277.63908,355.75,2.29,-1.28254269,6.712522
-92.140199,33.644146,2127.80786,190.629087,263.93,146.21,1.249190642,2.4504
-92.407057,33.542677,2319.903068,16.55653,99.41,43.61,-0.404367571,2.508834
-93.469359,36.238533,3979.639907,422.81735,255.45,5.09,-1.74166413,5.199951
-91.299499,33.286022,3049.480731,311.333811,203.9,225.98,2.361064295,1.976901
-93.30935,34.133292,2107.663668,2513.68568,266.44,121.01,-1.41250877,7.927606
-90.387595,36.37404,2712.168735,714.557399,302.37,3.88,1.310454738,3.648302
-91.998781,35.510075,11305.05347,791.62178,352.68,2.39,-1.958417093,5.696975
-92.155977,33.815391,2623.295004,27.5062,101.08,24.96,-0.000984079,2.14557
-93.247109,33.255511,1618.660502,1796.17702,257.54,185.77,2.821931414,10.6263
-92.875065,35.111303,8808.817212,432.32888,306.53,61.85,0.141584881,4.273376
-90.681947,35.844015,5907.285603,19027.98602,873.28,251.09,1.26194693,18.784524
-94.344003,35.451495,6654.965065,5884.43708,559.13,20.07,-0.692903283,8.839941
-90.154121,35.14182,15740.71544,20536.97362,932.18,877.71,9.25121739,74.837291
-90.765079,35.229859,5525.407492,1182.267702,308.7,114.04,0.740477446,7.115401
-92.610649,34.034181,906.2375382,181.474811,147.8,111.26,0.203782993,2.2874
-91.161473,33.866174,0,108.8683,158.49,183.53,4.584051238,1.86622
-91.882993,33.586464,3236.808001,419.514296,259.8,148.37,0.212507839,3.478328
-92.218844,35.242036,21143.83144,24973.22452,1280.84,308.56,-5.79633045,23.977727
-93.878696,35.624244,3147.519384,130.22197,150.73,3.15,-0.098109564,2.012145
-91.962564,36.377212,1397.839132,39.55559,99.67,0.83,-0.108665599,0.848118
-93.047366,34.416188,37612.06904,15240.76317,1046.87,212.54,2.245858827,86.703151
-92.567293,34.296421,4713.061056,393.57998,201.28,9.57,0.004137698,5.691636
-90.49534,36.173074,4658.151572,4246.58252,460.94,16.71,0.512300469,6.484575
-93.620451,33.854582,4768.819878,1181.8866,261.72,154.46,0.218773424,5.606501
-93.210482,34.331756,2543.3611,1681.57186,338.76,97.39,-0.247843282,15.334887
-93.925394,33.877461,1431.692537,605.30152,156.14,60.69,0.486444421,3.406922
-91.582858,35.597624,14277.26741,1092.58606,410.42,15.83,-0.801064769,6.992474
-91.92754,36.139118,8367.127668,113.3443,191.8,6.7,-0.343983852,1.616292
-91.173693,35.780776,5022.920365,445.11164,246.42,56.25,1.630313471,2.713517
-92.053554,34.243662,15961.9393,22183.87404,1199.49,1481.09,26.46717592,17.29235
-93.628447,35.475367,4938.464372,815.92735,304.09,10.84,0.015306755,2.605133
-93.625262,33.170435,0,34.01302,98.03,69.85,0.613861377,6.518155
-91.027145,35.959132,2240.533078,813.869787,300.69,6.46,0.282381644,4.352527
-90.625602,34.785605,4135.649732,297.657182,170.76,196.86,2.004988611,5.816942
-91.710579,33.909868,2314.165824,232.624213,182.27,86.09,0.06152009,2.66463
-94.006129,33.639257,3274.728491,113.50128,208.9,89.17,0.54040481,4.313385
-93.476388,35.284267,6376.997784,801.19668,303.6,8.29,-0.03897376,2.971497
-91.747476,34.736278,11131.61803,6378.038132,808.55,135.77,-3.350684164,19.079164
-93.751926,36.208572,3079.183301,159.7661,203.29,1.34,0.037234666,6.154967
-92.584648,36.281656,7975.569664,156.97136,207.52,2.46,0.06052592,2.295645
-94.036511,33.438051,6782.906911,15218.22302,565.15,344.58,4.993398011,18.878135
-89.879022,35.941338,8812.077814,2999.7536,616.15,436.6,7.56956412,12.07959
-91.141523,34.603114,1155.417911,48.912558,160.52,122.62,1.365943968,2.365077
-93.505557,34.602279,2534.811637,38.88949,149.63,0.93,0.2253975,7.376784
-93.258631,33.677803,622.224819,46.347703,146.25,103.66,0.815887776,3.366754
-93.19732,36.061087,1728.04379,23.746069,101.02,0.05,0.108692574,0.480481
-92.750669,33.709307,0,1614.49161,314.9,258.84,2.096545301,5.093926
-92.855125,34.950385,5149.497885,69.918111,151.33,2.23,-0.19484278,2.471948
-90.866142,34.318367,0,1099.920179,322.31,396.64,6.695725761,6.36187
-93.604327,34.038356,1921.736311,56.614901,152.58,9.45,-0.910742706,4.397333
-90.500527,35.671795,1181.74203,1446.431484,362.37,36.71,1.937175291,10.274446
-94.070632,34.562555,3990.02322,350.75783,308.41,2.6,1.069931814,5.151043
-93.151669,35.271973,7161.786559,5252.491495,559.82,29.78,-0.322116175,7.312715
-91.613731,34.737211,2475.714219,38.01639,149.84,40.36,0.389245469,2.235791
-92.364291,34.73404,50508.76506,180145.6518,4846.52,3791.01,10.74143766,112.337827
-90.87292,36.328468,3309.884037,665.99519,201.69,4.85,0.255359868,8.923367
-90.987431,35.010401,6963.87792,1555.48544,285.31,304.21,3.090411075,7.228774
-92.371064,34.603949,15833.06252,13930.50312,1069.99,125.3,-5.679479991,42.482262
-94.13018,34.928714,2837.863498,250.036247,146.46,0.86,1.141903152,1.794018
-94.387828,35.380201,6290.933805,46454.07482,1322.68,185.32,1.38504401,17.518438
-94.377488,33.996328,2590.115278,963.24747,197.77,20.04,0.204507443,5.150701
-91.498776,36.187518,0,203.08193,204.83,3.21,0.324759977,1.553585
-92.257844,35.884142,1133.075914,54.00786,100.65,0.15,-0.137013023,0.461392
-92.856332,33.187868,8941.100149,3905.70929,516.68,358.69,2.163668607,14.006579
-92.655564,35.548922,3102.775086,57.34165,150.3,2.24,0.786887072,1.984198
-94.149375,36.199696,10392.41649,53391.8906,1602.35,107.06,-3.939334676,62.1075
-91.97463,35.159043,14614.34711,4259.62183,668.76,55.67,0.169106552,7.697732
-91.178595,35.142663,1512.27364,22.20006,108.35,60.69,0.94613327,0.895747
-93.441435,35.03958,6462.459738,563.374934,301.01,16.54,0.652153234,3.848429
-121.9615,37.527844,59985.67686,3981097.178,18242.41,4146.48,-27.42289301,1039.395715
-120.255331,38.54225,10202.8207,993.37335,423.91,18.13,-2.085674876,81.960293
-121.504539,39.388784,35245.38856,112975.8654,2580.96,77.57,9.89042811,373.757955
-120.473364,38.1289,17091.23699,598.850745,496.67,6.42,-2.225504236,48.365158
-122.283172,39.106677,3832.567604,107.774041,193.66,6.57,1.263888407,28.96773
-122.322348,37.939848,35443.46461,1089405.707,10616.07,1712.86,-35.97108416,568.022399
-124.023062,41.58293,11770.67989,8169.658566,336.29,20.03,3.667722024,67.943323
-120.248502,38.725681,48076.5911,41978.55731,2046.56,32.89,-15.31459621,373.419078
-119.793375,36.74307,91743.52853,850764.5756,9628.3,965,172.2705123,588.889567
-122.209926,39.521392,6972.6522,2330.819333,289.58,7,1.661677709,37.322402
-123.757369,40.684624,24871.78582,37468.43834,1446.18,31,2.426758733,242.659841
-115.486684,32.668693,11949.82676,78076.13041,1335.16,65.64,31.23334498,106.951844
-117.117631,36.251518,6243.4284,1934.083338,242.81,3.62,-2.005627304,34.323107
-119.06781,35.34494,200374.2043,543879.4692,7266.77,769.4,115.5225943,192.162661
-119.930133,36.312528,9816.224968,58397.91991,1221.5,119.44,15.94058964,31.326114
-122.770803,38.871682,18418.3602,9984.00961,749.7,34.54,4.654542126,162.110744
-120.97024,40.512563,7611.93011,1438.710827,378.38,48.1,-0.66891044,59.296717
-117.9617,34.095832,504122.2723,31293080.12,116416.67,18390.99,784.5711508,5029.068403
-120.054123,36.936176,22883.69648,53151.88517,1184.55,56.64,15.64583456,77.00614
-122.543541,38.100942,17001.06894,216855.6603,2805.15,106.22,-30.91380938,59.009395
-120.085692,37.369645,8808.91536,100.931243,255.88,5.61,-0.142083037,13.464714
-123.293023,39.104122,13302.91901,13462.31697,858.08,13.87,4.808176361,80.554214
-120.572253,37.201602,36163.82629,124880.8393,2365.72,164.81,53.24711605,113.765377
-120.120426,41.598736,767.5383669,2.943985,48.67,1.15,-0.732500234,7.020588
-118.58016,37.703931,1451.21026,131.669397,140.73,2.21,-0.730332791,17.051137
-121.843261,36.601554,31134.05556,522567.1167,4427.02,193.27,9.239494387,126.977154
-122.195581,38.411828,8614.990682,141022.1364,1897.52,66.47,-10.44629163,142.976465
-120.880001,39.23833,14286.9825,9644.596401,1009.1,11,-8.104102376,95.692198
-117.910676,33.720791,24932.5844,4894974.813,29436.68,1021.17,-102.3412528,1314.970631
-121.270448,38.733183,35092.82356,211594.8669,4143.98,124.87,-38.51021939,625.841549
-120.934198,39.9351,13554.56897,138.77138,297.58,2.96,-2.291481968,35.516802
-116.726737,33.605468,157168.3251,1872521.927,22475.43,2702.44,103.4092237,2655.850987
-121.51824,38.672587,249413.4145,1782927.54,16212.04,2917.3,52.28533327,2045.701115
-121.373806,36.830339,3524.510495,36637.04408,546.86,9.76,1.312536912,23.876391
-117.392148,34.088632,101650.3994,1760731.348,18464.04,2729,171.6707313,896.118209
-117.221086,32.95124,112092.1406,4685056.802,31085.52,3051.04,-34.16626996,2776.314762
-122.418413,37.751822,0,6055110.053,9455.13,1123.58,-42.08161676,353.268034
-121.31487,38.024447,69985.21881,742633.483,6870.97,955.26,69.80685213,559.333114
-120.833064,35.32709,25468.49796,107352.0952,2567.28,106.65,-20.81863706,69.473814
-122.371202,37.594294,66995.61582,1384304.957,7895.24,331.22,-66.31654175,345.271972
-120.427651,34.872224,33053.73803,520265.0249,4322.32,167.79,-3.237607118,49.993288
-121.814483,37.266089,32838.75681,3300529.186,18396.99,904.17,-110.3877761,615.832349
-121.754323,36.927244,40735.9949,217730.0525,2619.22,51.27,-7.584772487,48.238711
-122.359057,40.99514,38011.6361,60347.48605,2379.31,56.69,-3.515440023,186.719042
-123.038575,41.350213,6203.078856,2180.414314,553.13,11.2,0.618238309,54.133614
-122.213912,38.093212,10299.22103,466893.0102,4786.67,1326.48,0.804565973,516.615965
-123.33853,38.613511,35714.82777,330609.3873,5021.63,150.98,-31.3098565,226.908303
-120.856397,37.525674,38141.04299,436708.6557,4749.85,282.78,50.81416057,330.144676
-121.612708,39.135321,14662.05317,51198.58258,1053.3,39.78,8.756062307,115.865692
-122.634508,40.062176,8806.988207,4642.379742,546.62,8.68,2.818680925,73.503911
-122.738,40.850639,6097.501317,17.10184,149.85,1.76,0.703623816,7.752657
-119.304778,36.319847,38535.7636,223285.4287,3803.53,125.84,84.08502097,106.076211
-120.426131,37.931562,15491.93929,2348.027401,502.95,9.52,-2.208742146,100.144612
-119.202478,34.268255,17996.49704,881510.6298,8595,319.34,-26.99950231,195.043265
-121.721574,38.555812,6720.434943,206381.4653,2113.66,104.35,0.82746536,182.89986
-121.542398,39.120708,23320.05112,25471.18532,680.29,45.11,6.191674577,88.553132
-104.903956,39.843596,51849.07651,477215.855,4769.58,306.52,-10.00541407,156.090672
-105.929608,37.456129,440.2862,1101.364624,200.27,3.58,1.040198025,3.977642
-104.870617,39.69109,44772.92594,804913.8101,7420.26,1412.96,-57.11664379,161.770767
-107.237667,37.106767,4501.06444,218.239045,192.8,5.66,-1.789888013,11.510349
-102.611839,37.434551,321.5644074,5.711422,102.17,1.79,0.320483543,1.084448
-105.253508,40.003901,14472.00314,258229.5545,3363.97,62.8,-31.55445876,36.277977
-105.020423,39.949292,0,53882.0819,747.12,20.73,-9.290710451,17.04364
-106.070361,38.870205,1770.421383,1970.820797,232.06,8.02,-2.251982774,3.406243
-105.534468,39.675105,2846.118317,328.9923,149.1,4.59,-1.786942883,10.917357
-106.255224,37.224536,1353.22301,21.027586,99.18,1.05,0.780769187,0.962166
-105.46285,37.13649,0,3.43289,47.74,0,0.477729525,0.532585
-108.02503,38.903196,4584.812,413.55519,345.63,8.58,-0.510146653,2.883355
-104.931402,39.756519,0,1179447.981,7145.72,1240.97,-22.58374783,130.75113
-104.907598,39.547413,44314.89981,162157.3161,3053.89,88.47,-47.60304618,77.49362
-106.753004,39.598209,3236.972963,1910.358456,629.41,13.35,-8.738829774,11.330123
-104.634833,39.412559,523.4115333,417.298611,343.67,2.79,-4.647993636,6.397676
-104.804302,38.869788,48907.38684,465523.6216,6395.27,801.26,-32.35455268,136.738942
-105.097919,38.359542,5829.846002,7264.499824,556.34,8.86,-1.973735904,13.500517
-108.470153,39.521786,4833.028193,2144.426922,545.26,5.33,-3.622298367,7.184949
-105.887689,39.941368,944.8223154,41.007098,142.42,2.67,-1.81601973,2.775606
-106.715906,38.666019,758.9759212,1203.945372,181.65,3.33,-1.816210061,1.49396
-104.965969,37.685869,2638.281858,79.627063,101.23,1.04,-0.269172481,0.786732
-105.13683,39.631307,53487.6486,503526.5334,6853.78,163.06,-73.24715458,191.506745
-102.238116,39.309012,1765.297868,10.374743,145.18,4.16,-1.40841759,2.325304
-106.34589,39.201057,1134.732163,371.990889,87.5,0.22,0.663245556,1.000162
-107.587057,37.380059,4959.038731,5286.95439,499.15,4.73,-5.089369222,34.244357
-105.088199,40.545424,23038.64218,219441.5484,3598.46,70.49,-32.32271858,53.646793
-104.726497,37.313384,414.6764532,1365.789165,184.86,4.93,0.238601266,1.523612
-103.602277,39.346648,682.1757414,12.297474,79.48,13.26,-0.55801288,1.573323
-103.10449,40.91612,2799.204411,1089.443197,222.59,5.45,-1.221920666,5.326331
-108.011728,39.211972,26309.60342,61864.73343,1467.65,20.11,-3.058202277,25.066967
-108.231356,40.621687,1222.35992,2867.250967,190.1,3.98,-0.522091703,9.157797
-108.708298,37.134065,3930.363318,1505.565919,298.18,1.49,-0.913326683,13.508269
-108.232616,38.533617,5715.046828,5721.741891,504.52,4.95,-1.05123154,5.667239
-103.838558,40.150631,3431.308464,5818.037503,395.81,25.13,-0.575201442,7.969557
-103.708703,38.085484,3608.135352,2795.319867,358.9,4.22,3.652673593,5.895462
-105.823293,39.186132,1469.982803,91.332396,228.71,1.33,-3.35731573,6.079277
-102.220192,40.592475,259.2048116,12.061947,97.78,0.3,-0.803032592,1.977238
-107.131646,39.234001,928.1742792,592.94241,198.52,2.79,-2.625403725,2.575479
-102.477956,37.921785,897.0815755,3107.516943,245.17,2.74,0.78939035,3.984541
-104.631036,38.237766,38572.85879,139811.8761,2705.37,113.21,16.20976432,58.568148
-108.733548,39.972115,577.264568,7.699469,98.68,1.08,-0.440656398,1.621528
-106.367495,37.674064,496.2198405,726.830579,146.9,4.2,1.145969974,4.13383
-107.170439,40.350144,1714.845191,580.634391,383.19,5.62,-5.472487904,4.759056
-106.2785,38.115999,746.7619638,12.39122,100.45,1.02,0.670465072,1.288936
-107.980937,37.964225,211.7815522,232.604573,189.6,0.05,-2.44278013,1.285562
-105.932549,39.609089,3644.27331,300.66096,232.87,4.24,-3.087805085,4.869335
-105.058649,38.971104,2046.597359,1132.64253,242.75,3.88,-2.569699652,60.649898
-103.174987,39.881504,3207.632398,6.331499,94.91,2.43,-0.67266913,1.232825
-104.76535,40.425321,22166.84744,176132.452,3722.44,87.65,-19.35257959,84.873371
-102.262485,40.01494,319.393153,12.06419,100.49,2.02,-0.267532529,0.841515
-73.231048,41.238791,336994.694,1110538.853,10739.22,2487.29,-18.6690328,105.346829
-72.793953,41.663902,544268.9606,933178.8799,11324.63,3431.92,61.66741735,97.072764
-73.20781,41.689792,51400.75871,43834.20412,2566.24,101.9,-18.80645494,24.913614
-72.520378,41.313682,37400.57496,52308.9277,1839.15,223.14,-10.72353241,11.773038
-72.831104,41.555823,448670.077,781459.6411,9760.03,2606.69,43.00478203,63.652567
-72.095636,41.34453,69646.98272,99390.91026,3236.19,369.04,-6.292663183,55.708075
-72.452287,41.848206,9042.153338,35928.26432,1416.83,74.36,-11.10962509,26.564023
-71.818415,41.702473,9704.695575,25105.20953,1252.65,47.92,7.392623268,15.749882
-75.614496,39.260045,66646.44336,34790.46513,1654.38,833.44,1.609313454,242.536796
-75.490511,39.805411,149490.9117,597478.583,6670.43,3395.9,-5.953958484,245.057883
-75.083232,38.724934,51748.43923,25048.57381,2745.11,545.28,-16.98855802,133.898746
-76.99503,38.949231,952132.3245,3230370.481,9151.15,8470.08,57.57331293,148.839965
-82.430792,29.645276,54143.23678,141552.6146,2880.03,1164.05,-3.267918049,18.539718
-82.099362,30.32105,6082.552312,447.76786,191.98,51.42,-0.451090484,1.370356
-85.90355,30.238011,62322.47192,70749.30732,2121.19,526.27,-4.975170966,49.758374
-82.205715,29.88391,3938.87798,566.24516,182,82.33,1.148691338,0.751581
-80.629691,28.064231,91863.65811,265339.5117,5655.71,1077.85,-30.48455951,141.024648
-80.272017,26.01573,20315.56105,2329711.142,18368.66,9603.93,-3.735922969,695.847098
-85.093768,30.374184,1728.737718,92.10505,141.66,25.75,0.384368216,0.898255
-82.022461,27.002455,51927.60686,58654.61085,1943.73,186.59,-16.13605514,26.012256
-82.462582,28.911717,44636.56675,15836.51156,1388.78,68.83,-3.207482101,11.330838
-81.760781,30.12701,50008.58449,42263.22354,1456.19,277.9,-3.766392043,28.513771
-81.808857,26.255681,96958.94989,181834.4848,3741.83,464.93,-31.18663043,61.352638
-82.664081,30.171714,20121.08459,4257.69701,592.31,216.18,2.582000144,2.8418
-81.856833,27.186329,16836.5771,3350.49253,401.65,122.03,0.782383122,3.317701
-83.121269,29.648746,5740.586589,153.5296,131.87,27.52,0.622215901,0.704079
-81.46312,30.333946,0,532044.0525,8921.7,5488.68,28.65985015,137.593393
-87.167559,30.419098,219341.4872,137255.4703,3572.72,1763.24,-3.883229054,124.23734
-81.198239,29.566564,30346.93072,27666.1312,1043.34,178.84,-8.148833282,10.163297
-84.875945,29.887399,5944.628196,157.27232,178.74,55.53,0.803711312,2.415932
-84.362609,30.636117,8558.427764,1053.19899,471.99,504.49,3.9088726,4.296247
-82.709828,29.644171,3776.825459,284.81595,237.38,30.82,0.009728927,2.060144
-80.988145,26.919726,3934.511541,53.28297,130.83,34.93,0.701280043,11.295925
-85.25204,30.063895,3856.760544,117.51253,129.83,53.79,-0.241045997,1.906737
-82.900172,30.51257,4933.757391,74.64998,143.06,93.56,1.936130829,0.376348
-81.932947,27.426477,7546.104972,451.03478,281.05,35.43,1.137978624,1.584471
-80.903721,26.8354,13177.72195,2028.588911,277.87,63.29,5.331332287,7.677322
-82.529659,28.522398,81871.40676,63085.89968,2287.69,221.29,-3.604501945,14.777532
-81.503405,27.507061,50452.28054,17460.78721,1227.56,273.2,1.536540363,21.12345
-82.131313,28.002565,343594.1578,1156767.549,15871.38,5314.48,2.251629234,107.35833
-85.771839,30.863582,5325.117308,193.04352,185.12,23.56,1.49407644,2.678293
-80.412095,27.630822,39949.11257,43007.53895,1530,213.48,-10.41664278,15.161365
-85.083536,30.871287,18088.83718,854.37917,510.63,312.43,2.522782201,7.838944
-83.949585,30.327925,5539.664487,119.44266,146.86,99.34,0.155488901,0.857879
-83.162516,29.953613,1545.450181,47.15843,71.65,36.43,0.237343463,0.430293
-81.673379,28.80453,49871.59237,63307.33772,2917.07,585.68,-10.59015772,44.051534
-82.014845,26.623027,165464.5959,329666.2622,8447.54,1319.69,-45.89596081,133.262519
-84.234423,30.442329,55233.92174,164849.8993,3518.5,2260.59,4.212226978,26.726298
-82.476551,29.444588,20977.00559,567.759828,465.08,82.64,1.405463143,3.246453
-84.990853,30.280833,1771.547004,22.207914,85.54,21.71,-0.407827031,3.310871
-83.623325,30.450252,9447.714695,355.76586,243.55,172.34,0.659646456,0.998786
-82.572741,27.416274,140432.824,229931.5515,4033.21,657.8,-15.59575576,30.999119
-82.209909,29.241343,88440.04236,53245.86681,3139.08,817.3,5.918647764,40.357537
-80.183443,27.153474,46781.84046,63139.20603,1707.85,200.88,-12.97457461,25.659231
-80.156509,25.968687,755159.8931,5917918.003,26012.6,8445.54,142.2053708,873.168584
