Easting,Northing,PurPrice,BldIntWr,BldPostW,Bld60s,Bld70s,Bld80s,TypDetch,TypSemiD,TypFlat,FlrArea
599500,142200,65000.0,0,0,0,0,1,0,1,0,78.947857262
575400,167200,45000.0,0,0,0,0,0,0,0,1,94.365909386
530300,177300,50000.0,1,0,0,0,0,0,0,0,41.331525273
524100,170300,105000.0,0,0,0,0,0,0,0,0,92.879832073
426900,514600,175000.0,0,0,0,0,1,1,0,0,200.52755745
508000,190400,250000.0,0,1,0,0,0,1,0,0,148.60773132
409200,283000,50000.0,1,0,0,0,0,0,0,1,122.60137834
418700,93100,99000.0,0,0,0,0,1,1,0,0,125.3877733
529700,138000,86500.0,0,0,0,1,0,1,0,0,90.093437111
353100,431500,72000.0,1,0,0,0,0,0,1,0,128.45280776
408600,93300,30000.0,0,0,0,0,0,0,0,0,74.303865659
502400,102200,29995.0,0,0,0,0,0,0,0,0,46.997195029
295900,205900,28000.0,0,1,0,0,0,0,1,0,102.81797411
629900,142900,51000.0,0,0,0,0,0,0,0,1,88.0
389300,232800,76500.0,0,0,0,0,1,1,0,0,115.91403043
510900,190200,56500.0,0,0,0,1,0,0,0,0,52.477105121
384100,410800,37000.0,0,0,0,0,0,0,0,1,80.805453904
434100,145600,67000.0,0,1,0,0,0,0,0,1,126.40945145
452400,304900,66500.0,0,0,1,0,0,1,0,0,92.0
417500,438600,86000.0,0,0,0,0,0,1,0,0,129.28872625
489800,274500,37500.0,0,0,0,0,0,0,0,1,115.5425111
495500,265900,53000.0,0,0,0,1,0,0,1,0,80.991213568
505300,429500,53500.0,0,0,0,0,1,0,1,0,77.740419445
524400,178500,109000.0,0,0,0,0,0,0,0,0,80.0
482700,240800,43000.0,0,0,0,0,1,0,0,1,50.0
442700,341500,42000.0,0,0,0,0,1,0,1,0,79.598016087
495600,180200,66000.0,1,0,0,0,0,0,0,1,71.0
523800,105900,89995.0,1,0,0,0,0,1,0,0,89.443278287
412300,285600,42000.0,1,0,0,0,0,0,0,1,97.988222837
400200,284600,50000.0,1,0,0,0,0,0,1,0,84.985046347
406100,293000,38000.0,1,0,0,0,0,0,0,1,83.0
421700,300700,62950.0,0,0,0,1,0,1,0,0,85.0
554300,237100,42500.0,0,0,0,1,0,0,0,0,59.0
576800,223800,37000.0,0,0,0,1,0,0,0,0,62.693886649
435200,287000,32000.0,1,0,0,0,0,0,1,0,83.0
436100,279300,55000.0,1,0,0,0,0,0,0,1,101.42477662
431600,280200,40000.0,1,0,0,0,0,0,0,1,79.412256423
254200,132500,45000.0,0,1,0,0,0,0,0,0,108.85516319
490300,157300,95000.0,0,0,1,0,0,1,0,0,110.0
499800,157900,58750.0,1,0,0,0,0,0,0,0,65.944680772
387100,394200,40000.0,0,0,0,0,0,0,0,1,90.0
570200,161600,49500.0,0,0,0,0,1,0,0,1,53.498783274
474600,259200,39950.0,0,0,0,0,0,0,0,1,103.0966136
651400,290100,43500.0,0,0,0,0,1,0,1,0,82.941690041
530700,339100,84950.0,0,0,0,0,1,1,0,0,176.0
243700,55300,50000.0,1,0,0,0,0,0,0,1,111.45579849
459100,91600,46000.0,1,0,0,0,0,0,1,0,70.588672376
471500,176100,56000.0,0,0,1,0,0,0,0,1,84.0
527700,149200,42000.0,0,0,0,0,0,0,0,0,32.600821058
537200,174800,76500.0,0,0,0,0,0,0,0,1,104.02541192
601600,150400,110000.0,0,1,0,0,0,1,0,0,96.0
452300,517200,37950.0,0,1,0,0,0,0,1,0,87.214162317
535600,176000,60000.0,0,0,0,0,0,0,0,0,54.613341259
460600,316200,38000.0,1,0,0,0,0,0,1,0,87.492801813
576800,223600,40000.0,1,0,0,0,0,0,0,0,66.0
537600,169700,139950.0,0,0,0,0,1,0,0,1,141.36310442
533200,190400,80000.0,0,0,0,0,0,0,0,1,148.60773132
506500,180300,82500.0,1,0,0,0,0,0,1,0,83.591848866
415000,94400,98000.0,1,0,0,0,0,1,0,0,125.3877733
510400,422000,60000.0,1,0,0,0,0,0,1,0,147.678933
563200,172400,75995.0,0,0,0,0,1,0,1,0,103.0
561300,99200,49000.0,0,0,0,0,0,0,0,1,104.0
405000,289000,28000.0,0,0,0,0,0,0,0,1,78.0
318000,468100,48000.0,1,0,0,0,0,0,1,0,92.879832073
412800,284700,43000.0,0,0,0,0,0,0,0,1,108.20500437
418800,96000,120000.0,0,0,0,0,0,1,0,0,113.03475563
411200,94600,66000.0,0,0,0,1,0,0,1,0,112.38459681
533500,166200,107000.0,1,0,0,0,0,0,1,0,105.04709007
509700,165000,95000.0,0,0,0,0,1,1,0,0,159.0
539200,187700,41000.0,0,0,0,0,0,0,0,0,52.0
577400,168000,48000.0,0,0,0,0,0,0,0,1,73.0
577800,167800,80000.0,0,1,0,0,0,0,0,1,143.0
439300,113300,52500.0,0,0,0,0,0,0,0,1,98.081102669
523600,169300,78000.0,0,0,0,0,0,0,0,1,79.412256423
331700,146900,50000.0,0,0,0,0,0,0,0,1,152.50868426
504600,170700,80000.0,0,1,0,0,0,0,1,0,100.0
317800,468400,46000.0,1,0,0,0,0,0,1,0,97.523823677
467400,430800,56000.0,0,0,0,0,1,1,0,0,110.06260101
408400,432900,59500.0,0,0,1,0,0,0,1,0,101.42477662
404600,402500,46950.0,0,0,0,0,1,1,0,0,70.867311872
385300,393600,62000.0,0,0,0,0,0,0,0,1,215.0
322700,390200,96000.0,1,0,0,0,0,1,0,0,170.0
373000,403400,38000.0,0,1,0,0,0,0,0,1,100.86749763
379500,355500,59950.0,0,0,0,0,1,0,0,1,95.0
383700,380800,65000.0,0,1,0,0,0,0,1,0,86.0
452600,302900,123500.0,0,0,0,0,1,1,0,0,202.0
478700,264300,39000.0,0,0,0,1,0,0,0,0,64.0
443200,295400,75000.0,0,0,0,0,1,1,0,0,109.0
487100,280100,43500.0,1,0,0,0,0,0,1,0,78.0
512400,359800,42000.0,0,0,0,0,0,1,0,0,113.0
443100,294400,35000.0,0,0,0,0,0,0,0,1,62.786766482
389700,283000,69250.0,0,0,1,0,0,0,1,0,118.42178589
431400,279000,51000.0,1,0,0,0,0,0,0,1,92.322553081
432600,293200,75000.0,0,0,0,0,1,1,0,0,120.0
389000,263200,89000.0,0,0,0,1,0,1,0,0,114.24219345
517100,258600,38000.0,0,0,0,0,0,0,0,1,81.734252224
530600,272800,50000.0,0,0,0,1,0,0,1,0,95.016068211
652400,309000,50000.0,0,0,0,0,0,0,0,1,159.75331117
598400,311200,32500.0,0,0,0,0,1,0,0,0,69.0
593400,157200,150000.0,0,0,0,0,1,1,0,0,217.0
541400,110300,89000.0,0,0,0,0,0,0,0,1,154.0
448800,120500,145000.0,0,0,0,1,0,1,0,0,221.0
449900,118300,78000.0,0,0,0,0,1,1,0,0,88.0
532700,106200,54000.0,0,1,0,0,0,0,1,0,62.0
472400,138700,149995.0,1,0,0,0,0,1,0,0,142.0
591700,173800,51000.0,1,0,0,0,0,0,1,0,97.0
