AREA,PERIMETER,B_,B_ID,POLY_,SUBCLASS,SUBCLASS_,RINGS_OK,RINGS_NOK,REGIONS_,REGIONS_ID,REGION
149955760000.0,6285295.0,2,109,111,XXX,57,1,0,58,57,North East
125312.88,2290.3689,3,110,1,,0,0,0,0,0,
35534.34,980.08337,4,114,116,XXX,84,1,0,95,94,
98317.656,2048.5098,5,120,122,XXX,85,1,0,97,96,
165274.61,2744.9924,6,127,1,,0,0,0,0,0,
189432.95,3724.7322,7,128,1,,0,0,0,0,0,
177985.8,4695.8579,8,129,1,,0,0,0,0,0,
143588.38,2407.9475,9,130,1,,0,0,0,0,0,
309105.41,3044.2234,10,131,1,,0,0,0,0,0,
39732.852,1321.2996,11,132,1,,0,0,0,0,0,
473342.78,5365.1816,12,133,1,,0,0,0,0,0,
346840.59,3919.282,13,134,1,,0,0,0,0,0,
87543.805,2183.4636,14,135,1,,0,0,0,0,0,
54292.18,1889.0553,15,136,138,XXX,90,1,0,106,105,
116863.75,1915.3121,16,137,139,XXX,91,1,0,107,106,
156804.41,2527.5286,17,138,140,XXX,90,1,0,106,105,
40465.832,1310.9509,18,139,141,XXX,91,1,0,107,106,
194183.75,3371.574,19,140,142,XXX,91,1,0,107,106,
37303.957,1167.23,20,141,143,XXX,91,1,0,107,106,
274815.62,3374.9905,21,142,1,,0,0,0,0,0,
25274.062,859.26819,22,145,1,,0,0,0,0,0,
120874.38,2378.4626,23,146,1,,0,0,0,0,0,
239703.72,3895.6531,24,147,1,,0,0,0,0,0,
353870.84,4515.3809,25,149,1,,0,0,0,0,0,
110439.82,1777.7417,26,150,152,XXX,92,1,0,110,109,
818173.06,6843.3438,27,151,1,,0,0,0,0,0,
162575.89,1845.7428,28,152,1,,0,0,0,0,0,
314826.34,3897.3467,29,153,1,,0,0,0,0,0,
98875.133,1454.152,30,154,156,XXX,61,17,0,62,61,North West
690630.94,6993.6484,31,155,1,,0,0,0,0,0,
590198.69,6268.2871,32,156,1,,0,0,0,0,0,
406970.44,4460.772,33,158,160,XXX,93,1,0,115,114,
681929980.0,160881.47,34,159,163,XXX,62,1,0,63,62,Wales
141158.98,2034.0465,35,160,1,,0,0,0,0,0,
266332.5,3129.3501,36,161,1,,0,0,0,0,0,
135808.42,1707.6904,37,162,1,,0,0,0,0,0,
