X,Y,Rate_per_100000,Walkability,PopulationFemale,NoHealthInsurance,X.Black
-86.443581,32.472082,222.5,64.222222,617.33,91.45,262.88
-87.78623,31.112755,172.7,202.766667,1584.13,282.13,293.94
-85.572544,31.800161,499,47.666667,439.82,103.5,433.89
-87.009323,32.961403,204.1,18.805556,186.9,48.14,68.97
-86.635686,34.032785,72.3,41.625,454.95,101.41,13.17
-85.825803,32.068123,570.5,11.277778,140.31,34.15,226.62
-86.588424,31.903303,395.2,38.694444,377.16,54.58,283.23
-85.873202,33.64412,274.8,175.122222,1465.66,299.22,770.97
-85.197184,32.847257,407.1,43.644444,417.81,79.97,298.94
-85.569484,34.355408,122.7,25.708333,304.8,52.55,30.09
-86.738255,32.772464,138.5,42.002778,461.46,112.67,83.38
-88.212506,32.066324,230.4,14.558333,207.97,40.9,173.57
-87.699686,31.634827,188.9,27.419444,264.51,49.14,214.48
-85.877103,33.304726,176.5,15.319444,206.35,43.25,56.78
-85.562208,33.692621,103.6,17.944444,203.22,49.9,10.78
-86.028552,31.253286,175.8,76.188889,713.94,154.77,204.5
-87.63981,34.747097,119.4,93.486111,730,106.67,244.55
-86.800952,31.38495,272.5,22.444444,253.87,64.32,225.3
-86.335788,33.002011,190.7,10.263889,147.86,23.93,100.14
-86.404756,31.438935,153.6,74,723.14,164.16,205.74
-86.226238,31.726809,172.3,28.305556,308.9,55.87,145.18
-86.864139,34.187442,92.6,88.4,910.46,195.92,23.48
-85.636959,31.445272,326.6,71.55,716.63,158.31,281.66
-87.033485,32.564382,453.9,84.819444,753.58,148.41,986.24
-85.637516,34.456554,102.6,71.797222,705.45,195.39,22.16
-85.979538,32.516028,269.2,79.138889,782.43,115.03,327.36
-86.89051,31.115195,264.3,53.580556,449.6,130.74,313.81
-85.967496,34.001389,217.5,185.963889,1557.94,385.81,633.73
-87.636713,33.808525,101.2,19.227778,256.04,39.53,49.59
-88.072658,34.521142,81,40.902778,446.61,109.42,34.38
-86.08719,31.088301,175.1,26.688889,306.08,74.36,52.42
-87.938855,32.688042,437.5,9.788889,159.93,38.18,241.74
-87.701022,32.864468,499.6,24.766667,311.03,48.58,338.77
-85.255158,31.566294,258.4,23.166667,311.41,58.26,164.56
-85.419304,31.220099,397.3,150.044444,1145.21,245.72,732.31
-86.218177,34.867007,88.2,51.825,563.01,107.49,35.35
-86.857717,33.512429,672.8,1582.523016,8596.2,1696.67,8056.1
-88.096943,33.946116,110.7,13.946429,153.01,31.76,31.88
-87.681804,34.829955,118.4,137.186111,1145.56,225.61,306.42
-87.41755,34.567622,86.2,32.336111,470.26,79.07,126.67
-85.515268,32.596024,224.2,173.027778,1363.15,209.83,664.42
-86.982912,34.78542,133.7,89.236111,810.73,161.48,225.19
-86.719898,32.270648,613.6,12.097222,154.77,25.73,214.22
-85.624798,32.302491,612.5,55.611111,642.03,97.31,1031.34
-86.69641,34.960651,259.9,608.161111,3756.73,694.19,2099.12
-87.94483,32.08018,169.8,29.15,305.39,49.92,322.54
-87.949791,34.196722,137.3,34.463889,352.79,64.61,22.64
-86.226351,34.280137,159.1,104.316667,916.04,221.49,50.16
-88.143755,30.643455,554.5,763.361111,5634.66,1296.07,4716.54
-87.413893,31.716986,192.3,26.555556,361.04,86.18,344.71
-86.228474,32.372142,789.9,715.701984,3330.01,646.7,3772.49
-87.008751,34.59699,140.7,167.452778,1361.82,268.48,402.13
-87.13947,32.685264,366.8,10.375,164.39,32.43,205.6
-88.10342,33.142607,307.8,21.283333,255.81,45.13,183.93
-85.996562,31.782457,414.5,39.561111,412.5,75.12,289.63
-85.527882,33.426217,82.7,27.513889,305.32,55.74,115.13
-85.006312,32.474319,412.2,82.652778,678.46,156.86,581.11
-86.200866,33.751917,156.6,71.819444,652.14,116.46,114.97
-86.793157,33.358377,181.2,301,2424.09,325.48,574.27
-88.247798,32.850612,404.5,15.483333,214.61,48.76,270.93
-86.181643,33.301196,249.7,119.480556,1140.87,214.04,772.83
-85.649304,32.77661,212.1,48.738889,518.4,80.7,301.59
-87.327522,33.324315,291.7,322.458333,2432.21,374.2,1655.11
-87.304314,33.952927,147.5,92.611111,918.16,220.21,117.22
-88.053624,31.417921,101.1,19.166667,252.37,49.39,113.45
-87.41633,32.14173,264.8,9.516667,102.5,22.99,140.28
-87.385555,34.132591,44.2,33.247222,356.5,82.17,4.08
-109.184475,35.416491,187.1,38.805556,347.4,117.95,6.61
-110.24907,31.546888,193.9,183.205556,1488.23,241.46,118.8
-111.01837,35.714053,142.6,217.225794,1194.61,254.54,25.3
-111.525429,34.343019,101.3,74.738889,653.93,126.58,8.97
-109.947699,33.275953,92.3,47.888889,359.28,40.25,18.44
-109.346176,32.978057,92.3,4.111111,43.44,3.96,3.36
-114.013445,34.1987,117.1,32.666667,290.3,69.09,6.17
-112.155854,33.54579,312.8,10190.58413,45574.54,9564.95,4860.32
-114.623754,35.103767,140.3,300.922222,2075.13,382.69,49.42
-110.32226,35.760414,149.5,130.361111,1076.15,249.84,25.09
-110.949372,32.26412,295.1,2328.261508,11559.76,2059.3,741.8
-111.554658,33.234506,262.9,444.619444,3664.6,672.68,279.84
-110.643677,31.56525,152.9,57.922222,521.64,106.3,11.23
-112.366388,34.826834,132.6,294.333333,2143.2,412.41,27.73
-114.594268,32.680498,163.2,458.263889,2220.16,529.77,106.99
-91.21635,34.349886,260.8,30.305556,265.63,27.37,140.57
-91.914274,33.299483,138.6,33.586111,358.44,53.34,183.23
-92.3816,36.308297,106.1,55.027778,465.6,45.9,1.32
-94.195692,36.346352,120,327.538889,2464.84,455.4,71.54
-92.977134,36.372565,76.1,45.152778,355.75,47.88,2.29
-92.140199,33.644146,134.8,27.055556,263.93,56.73,146.21
-92.407057,33.542677,179.7,8.833333,99.41,18.56,43.61
-93.469359,36.238533,229.5,26.786111,255.45,57.45,5.09
-91.299499,33.286022,337.3,23.722222,203.9,37,225.98
-93.30935,34.133292,150.4,32.758333,266.44,43.47,121.01
-90.387595,36.37404,73.1,30.027778,302.37,38.99,3.88
-91.998781,35.510075,110.2,37.483333,352.68,55.43,2.39
-92.155977,33.815391,132.7,6.916667,101.08,11.22,24.96
-93.247109,33.255511,170.4,29.944444,257.54,35.97,185.77
-92.875065,35.111303,154.4,29.805556,306.53,40.17,61.85
-90.681947,35.844015,180.8,118.057143,873.28,151.71,251.09
-94.344003,35.451495,108.6,64.222222,559.13,91.89,20.07
-90.154121,35.14182,557.3,146.561111,932.18,151.91,877.71
-90.765079,35.229859,250.2,32.494444,308.7,48.19,114.04
-91.161473,33.866174,192.4,18.680556,158.49,18.05,183.53
-91.882993,33.586464,157.6,24.25,259.8,27.63,148.37
-92.218844,35.242036,158.5,161.083333,1280.84,219.52,308.56
-93.878696,35.624244,86.8,15.344444,150.73,16.37,3.15
-91.962564,36.377212,131,8.083333,99.67,23.43,0.83
-93.047366,34.416188,247.1,149.105556,1046.87,228.27,212.54
-92.567293,34.296421,135.8,14.933333,201.28,18.21,9.57
-90.49534,36.173074,98.6,50.041667,460.94,66.29,16.71
-93.620451,33.854582,142.6,28.472222,261.72,44.21,154.46
-93.210482,34.331756,217.2,39.686111,338.76,54.07,97.39
-93.925394,33.877461,158.6,17.166667,156.14,26.1,60.69
-91.582858,35.597624,147,45.55,410.42,68.51,15.83
-91.92754,36.139118,151.4,20.611111,191.8,25.41,6.7
-91.173693,35.780776,271.4,25.811111,246.42,39.19,56.25
-92.053554,34.243662,506.5,154.288889,1199.49,164.73,1481.09
-93.628447,35.475367,54.7,32.166667,304.09,64.09,10.84
-93.625262,33.170435,138.2,9.677778,98.03,16.65,69.85
-91.027145,35.959132,79.4,31.669444,300.69,43.63,6.46
-90.625602,34.785605,530.8,15.433333,170.76,28.2,196.86
